drift_per_month,seed,dgp_seed,month,pAUC,positives,rows
0.04,1,0,0,0.5927623207729782,4145,419897
0.04,1,0,1,0.5752342027759516,4221,420141
0.04,1,0,2,0.5681944135767265,4243,420217
0.04,1,0,3,0.5491607525863046,4264,419080
0.04,1,0,4,0.5290938318981092,4098,420497
0.04,1,0,5,0.5037459432409258,4077,419228
0.04,1,0,6,0.49122230420309676,4283,420142
0.04,1,0,7,0.47218340226037664,4311,419770
0.04,1,0,8,0.447533134431267,4185,418434
0.04,1,0,9,0.42283212081508026,4227,420555
0.04,1,0,10,0.3900073363030268,4269,420398
0.04,1,0,11,0.36810921938671226,4134,419865
0.04,1,0,12,0.33117284659759727,4194,420000
0.04,2,0,0,0.5987895055213112,4059,420754
0.04,2,0,1,0.5764982600901093,4187,420769
0.04,2,0,2,0.5649480789033908,4297,419896
0.04,2,0,3,0.562204745045626,4206,420134
0.04,2,0,4,0.5370145062482089,4103,419620
0.04,2,0,5,0.5020343333064339,4264,420750
0.04,2,0,6,0.4946178725028392,4141,419239
0.04,2,0,7,0.4558603518231014,4165,419922
0.04,2,0,8,0.43803912079150414,4332,419647
0.04,2,0,9,0.4199691546162918,3971,419569
0.04,2,0,10,0.3754499045564841,4178,420026
0.04,2,0,11,0.35336986195300435,4213,420490
0.04,2,0,12,0.33861939747300007,4128,420000
0.04,3,0,0,0.5946857124765123,4300,420041
0.04,3,0,1,0.5770906095313963,4328,421305
0.04,3,0,2,0.5639651517732659,4208,418707
0.04,3,0,3,0.5488927130972044,4029,419699
0.04,3,0,4,0.5402956901009307,4297,419640
0.04,3,0,5,0.5167720632398661,4232,419243
0.04,3,0,6,0.4867111567945481,4317,419457
0.04,3,0,7,0.46857455440817164,4272,419737
0.04,3,0,8,0.4415768864988695,4287,419869
0.04,3,0,9,0.4158039949028732,4091,420598
0.04,3,0,10,0.38598058143527686,4288,420996
0.04,3,0,11,0.34462641729754206,4088,420275
0.04,3,0,12,0.3185716854486544,4270,420000
0.04,4,0,0,0.5890324828564532,4165,419559
0.04,4,0,1,0.5864852578210633,4271,420189
0.04,4,0,2,0.563124435960754,4380,420198
0.04,4,0,3,0.5562519268794429,4252,420081
0.04,4,0,4,0.5300621836895976,4226,420742
0.04,4,0,5,0.5100954200506633,4099,419794
0.04,4,0,6,0.4943754200241233,4400,419690
0.04,4,0,7,0.4681500232748771,4264,420708
0.04,4,0,8,0.4380627178757502,4185,419230
0.04,4,0,9,0.3977361297412312,4185,419176
0.04,4,0,10,0.38363945941808764,4261,420874
0.04,4,0,11,0.3662997671537711,4311,420064
0.04,4,0,12,0.32528548734884183,4063,420000
