scenario_id,period,dgp_seed,method,test_mean,test_sd,valid_mean,n,training_rows,positives,selected_endpoint,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,ceiling,pct_of_ceiling,method_label,rank,regret_vs_best_deployable
no_shift,early,0,R3_drop_unweighted,0.6006663264079501,0.0020039347621618373,0.5905561411827612,5,770945.2,24869.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,1.0005364708353928,dropping,2.0,-0.00017074502135705494
no_shift,early,0,R4_ipw_pure,0.6008370714293072,0.0030439905426889007,0.5848543446096739,5,770945.2,24869.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,1.0008208826853178,IPW,1.0,0.0
no_shift,early,0,R5_asymmetric,0.6003320679826325,0.002114899642172722,0.5881955135912117,5,770945.2,24869.2,mixed,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,0.9999796929197499,Asymmetric IPW,4.0,-0.0005050034466747011
no_shift,early,0,R6_no_retrain,0.5978975808370467,0.0018861681243168681,0.5858608282035173,5,783177.8,25263.8,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,0.9959245410494846,no retraining,6.0,-0.0029394905922605075
no_shift,early,0,R7_incremental,0.598024986878624,0.0018613092772637554,0.586203049746647,5,119170.2,3844.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,0.9961367626866875,incremental,5.0,-0.002812084550683158
no_shift,late,0,R0_benchmark,0.596674665192047,0.006856520497486726,0.5999871628268896,5,781243.4,25201.4,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,1.0,uncensored benchmark,,
no_shift,late,0,R1_holdout_only,0.5614932734795897,0.005613865794775819,0.5589472391993492,5,38601.2,1245.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9410375640783512,holdout only,6.0,-0.0348273131552973
no_shift,late,0,R2_unflagged_only,0.596320586634887,0.006368875925895843,0.5925119879132904,5,698281.2,22525.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9994065802055696,no holdout,1.0,0.0
no_shift,late,0,R3_drop_unweighted,0.5959167962928836,0.007818084409845263,0.5951681469003782,5,702280.2,22654.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9987298456874828,dropping,2.0,-0.00040379034200332953
no_shift,late,0,R4_ipw_pure,0.5899866481303633,0.006400930814315215,0.5888921422028848,5,702280.2,22654.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9887911831156244,IPW,4.0,-0.006333938504523684
no_shift,late,0,R5_asymmetric,0.5959167962928836,0.007818084409845263,0.5951681469003782,5,702280.2,22654.2,R3_drop_unweighted,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9987298456874828,Asymmetric IPW,2.0,-0.00040379034200332953
no_shift,late,0,R6_no_retrain,0.5149298532308954,0.003363336043796231,0.5179712660918745,5,782613.6,25245.6,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.8629993583943418,no retraining,7.0,-0.08139073340399161
no_shift,late,0,R7_incremental,0.5847371203330641,0.006843842498825657,0.5884031633115057,5,702280.2,22654.2,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.596674665192047,0.9799932097751449,incremental,5.0,-0.011583466301822831
reference,early,0,R0_benchmark,0.726350937719673,0.0065516416891824416,0.7238771877686572,5,785769.4,25347.4,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,1.0,uncensored benchmark,,
reference,early,0,R1_holdout_only,0.689109731604866,0.00627524893359539,0.6805137294005783,5,39357.6,1269.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.948728356802673,holdout only,7.0,-0.03637993389710992
reference,early,0,R2_unflagged_only,0.7254896655019759,0.006726885442665639,0.7170868521266848,5,729262.6,23524.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9988142478064378,no holdout,1.0,0.0
reference,early,0,R3_drop_unweighted,0.7254585869587693,0.006522829963237396,0.7188060640935834,5,732201.4,23619.4,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9987714605784015,dropping,2.0,-3.107854320660852e-05
reference,early,0,R4_ipw_pure,0.7254245617671683,0.006451548540877826,0.7162204228062475,5,732201.4,23619.4,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9987246165670096,IPW,4.0,-6.510373480761444e-05
reference,early,0,R5_asymmetric,0.7254555544135487,0.006646624457233499,0.7184367710879684,5,732201.4,23619.4,mixed,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9987672855370225,Asymmetric IPW,3.0,-3.411108842721333e-05
reference,early,0,R6_no_retrain,0.7236046344475857,0.007519917550533627,0.7185325821139912,5,787313.2,25397.2,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9962190407839094,no retraining,6.0,-0.001885031054390196
reference,early,0,R7_incremental,0.7239156932088071,0.007324652259760042,0.7183272313464512,5,74883.6,2415.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.726350937719673,0.9966472893688124,incremental,5.0,-0.0015739722931688016
